prov,city,area,count
ON,Toronto,Toronto,122910
ON,Ottawa,Ottawa,24898
ON,Mississauga,Peel,24099
ON,Hamilton,Hamilton,22571
ON,Brampton,Peel,19982
ON,London,Middlesex,12901
ON,Oakville,Halton,12864
ON,Markham,York,11970
ON,Vaughan,York,11918
ON,Barrie,Simcoe,11408
ON,Kitchener,Waterloo,11163
ON,Burlington,Halton,10017
ON,Richmond Hill,York,9000
ON,Windsor,Essex,8216
ON,Oshawa,Durham,7883
ON,Milton,Halton,6849
ON,Cambridge,Waterloo,5899
ON,Guelph,Wellington,5885
ON,St. Catharines,Niagara,5543
ON,Brantford,Brantford,5300
ON,Whitby,Durham,4952
ON,Niagara Falls,Niagara,4866
ON,Waterloo,Waterloo,4218
ON,Clarington,Durham,4168
ON,Kawartha Lakes,Kawartha Lakes,3816
ON,Ajax,Durham,3689
ON,Innisfil,Simcoe,3686
ON,Newmarket,York,3496
ON,Peterborough,Peterborough,3450
ON,Kingston,Frontenac,3425
ON,Pickering,Durham,3345
ON,Welland,Niagara,2901
ON,Aurora,York,2761
ON,Chatham-Kent,Hamilton,2688
ON,Caledon,Peel,2623
ON,Halton Hills,Halton,2478
ON,Greater Sudbury / Grand Sudbury,Halton,2458
ON,Georgina,York,2421
ON,Norfolk County,Niagara,2355
ON,Collingwood,Simcoe,2285
ON,Wasaga Beach,Simcoe,2224
ON,Fort Erie,Niagara,2145
ON,Woodstock,Oxford,2123
ON,Grimsby,Niagara,2095
ON,Belleville,Niagara,2083
ON,Orillia,Simcoe,2040
ON,New Tecumseth,Simcoe,2040
ON,Haldimand County,Haldimand,2014
ON,Brant,Brant,2007
ON,East Gwillimbury,York,1845
ON,Whitchurch-Stouffville,York,1842
ON,Quinte West,Hastings,1787
ON,Bradford West Gwillimbury,Simcoe,1770
ON,Thorold,Niagara,1596
ON,Lincoln,Niagara,1548
ON,The Blue Mountains,Grey County,1545
ON,Sault Ste. Marie,Algoma,1500
ON,Essa,Simcoe,1440
ON,Cobourg,Northumberland,1364
ON,St. Thomas,Elgin,1275
ON,Oro-Medonte,Simcoe,1269
ON,Prince Edward County,Toronto,1252
ON,Springwater,Durham,1221
ON,Lakeshore,Essex,1205
ON,Centre Wellington,Waterloo,1149
ON,Orangeville,Dufferin,1129
ON,Lasalle,Essex,1052
ON,Tiny,Simcoe,1043
ON,Midland,Simcoe,1015
ON,King,York,1012
ON,Amherstburg,Simcoe,1003
